test accuracy 0.97079,train accuracy 0.998061
test accuracy 0.97079,train accuracy 0.998199
test accuracy 0.97079,train accuracy 0.998199
test accuracy 0.97079,train accuracy 0.998338
test accuracy 0.969072,train accuracy 0.998338
test accuracy 0.97079,train accuracy 0.998476
test accuracy 0.97079,train accuracy 0.998476
test accuracy 0.972509,train accuracy 0.998753
test accuracy 0.974227,train accuracy 0.998753
test accuracy 0.972509,train accuracy 0.998753
test accuracy 0.972509,train accuracy 0.998892
test accuracy 0.97079,train accuracy 0.998892
test accuracy 0.972509,train accuracy 0.998892
test accuracy 0.974227,train accuracy 0.998892
test accuracy 0.972509,train accuracy 0.998892
test accuracy 0.969072,train accuracy 0.998892
test accuracy 0.97079,train accuracy 0.998892
test accuracy 0.97079,train accuracy 0.998892
test accuracy 0.97079,train accuracy 0.998892
test accuracy 0.972509,train accuracy 0.998892
test accuracy 0.974227,train accuracy 0.998892
test accuracy 0.97079,train accuracy 0.999169
test accuracy 0.972509,train accuracy 0.999169
test accuracy 0.974227,train accuracy 0.99903
test accuracy 0.975945,train accuracy 0.99903
test accuracy 0.977663,train accuracy 0.99903
test accuracy 0.974227,train accuracy 0.99903
test accuracy 0.974227,train accuracy 0.999169
test accuracy 0.972509,train accuracy 0.999169
test accuracy 0.974227,train accuracy 0.999169
test accuracy 0.974227,train accuracy 0.99903
test accuracy 0.974227,train accuracy 0.999308
test accuracy 0.974227,train accuracy 0.999308
test accuracy 0.974227,train accuracy 0.999308
test accuracy 0.974227,train accuracy 0.999307
test accuracy 0.974227,train accuracy 0.999308
test accuracy 0.974227,train accuracy 0.999446
test accuracy 0.972509,train accuracy 0.999446
test accuracy 0.972509,train accuracy 0.999446
test accuracy 0.972509,train accuracy 0.999446
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.974227,train accuracy 0.999585
test accuracy 0.977663,train accuracy 0.999585
test accuracy 0.979381,train accuracy 0.999862
test accuracy 0.975945,train accuracy 0.999862
test accuracy 0.975945,train accuracy 0.999862
test accuracy 0.977663,train accuracy 0.999723
test accuracy 0.977663,train accuracy 0.999723
test accuracy 0.977663,train accuracy 0.999723
test accuracy 0.977663,train accuracy 0.999723
test accuracy 0.974227,train accuracy 0.999862
test accuracy 0.974227,train accuracy 0.999862
test accuracy 0.974227,train accuracy 0.999862
test accuracy 0.979381,train accuracy 0.999862
test accuracy 0.979381,train accuracy 0.999862
test accuracy 0.977663,train accuracy 0.999862
test accuracy 0.974227,train accuracy 0.999862
test accuracy 0.974227,train accuracy 0.999862
test accuracy 0.974227,train accuracy 0.999862
test accuracy 0.975945,train accuracy 0.999862
test accuracy 0.977663,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.977663,train accuracy 1
test accuracy 0.977663,train accuracy 1
test accuracy 0.977663,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.972509,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 0.999862
test accuracy 0.977663,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.974227,train accuracy 0.999862
test accuracy 0.977663,train accuracy 0.999862
test accuracy 0.979381,train accuracy 0.999862
test accuracy 0.979382,train accuracy 1
test accuracy 0.977663,train accuracy 1
test accuracy 0.977663,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.975945,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.974227,train accuracy 1
test accuracy 0.974227,train accuracy 1
